date,stop-and-search
2021-10,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hertfordshire,humberside,kent,lancashire,leicestershire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-yorkshire"
2021-09,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-yorkshire"
2021-08,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-yorkshire,wiltshire"
2021-07,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-yorkshire,wiltshire"
2021-06,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-yorkshire,wiltshire"
2021-05,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-yorkshire,wiltshire"
2021-04,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-yorkshire,wiltshire"
2021-03,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2021-02,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2021-01,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2020-12,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2020-11,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2020-10,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2020-09,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2020-08,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2020-07,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2020-06,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2020-05,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2020-04,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2020-03,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2020-02,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
